Image,Title,Price,Rating,Author
https://m.media-amazon.com/images/I/41NniknBztL._AC_UY218_.jpg,"Data Warehousing: Fundamentals for IT Professionals, 2ed",? 383,3.7 out of 5 stars,Paulraj Ponniah
,,,,
https://m.media-amazon.com/images/I/51dJUcDMNRL._AC_UY218_.jpg,"Callister's Materials Science and Engineering, 2ed (WIND)",? 491,3.8 out of 5 stars,R. Balasubramaniam
,,,,
https://m.media-amazon.com/images/I/71RanAYLvqL._AC_UY218_.jpg,Data Communications and Networking,? 500,4.4 out of 5 stars,Forouzan
,,,,
https://m.media-amazon.com/images/I/514faGhNXxL._AC_UY218_.jpg,"HTML 5 Black Book (Covers CSS3, JavaScript, XML, XHTML, AJAX, PHP, jQuery) 2Ed.",? 751,4.1 out of 5 stars,DT Editorial Services
,,,,
https://m.media-amazon.com/images/I/71G9x8m7mbL._AC_UY218_.jpg,Modern Digital Electronics,? 484,4.1 out of 5 stars,R Jain
,,,,
https://m.media-amazon.com/images/I/71laAzLtIEL._AC_UY218_.jpg,Official Guide to Financial Accounting Using Tally. ERP 9 with GST (Release 6.4),? 348,3.5 out of 5 stars,Tally Education
,,,,
https://m.media-amazon.com/images/I/91TomMgC9jL._AC_UY218_.jpg,Thermodynamics: An Engineering Approach (SIE),? 627,4.3 out of 5 stars,Yunus A Cengel; Michael A Boles
,,,,
https://m.media-amazon.com/images/I/616TU0OhrpL._AC_UY218_.jpg,Engineering Mechanics (In SI Units) (SIE),? 581,4.5 out of 5 stars,S. Timoshenko
,,,,
https://m.media-amazon.com/images/I/91QvuTCZ0vL._AC_UY218_.jpg,Fundamentals of Data Structures in C (Second Edition),? 425,4.0 out of 5 stars,Sahni Horowitz
,,,,
https://m.media-amazon.com/images/I/81OdlIfCnEL._AC_UY218_.jpg,"Organic Chemistry, 7e",? 751,4.4 out of 5 stars,Morrison   Boyd & Bhattacharjee
,,,,
https://m.media-amazon.com/images/I/81wnCapk9QL._AC_UY218_.jpg,Molecular Biology of the Gene,? 756,4.0 out of 5 stars,"
    
        
        
            James D. Watson
        
    
"
,,,,
https://m.media-amazon.com/images/I/51Fn-Lw-tRL._AC_UY218_.jpg,Digital Image Processing,? 671,4.6 out of 5 stars,"
    
        
        
            Richard E. Woods
        
    
"
,,,,
https://m.media-amazon.com/images/I/518cLonBfJL._AC_UY218_.jpg,Digital Logic & Computer Design 1/e,? 550,3.7 out of 5 stars,Mano
,,,,
